track_id,genre,split,audio_path,exists
602,Folk,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000602.mp3,True
615,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000615.mp3,True
620,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000620.mp3,True
621,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000621.mp3,True
625,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000625.mp3,True
666,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000666.mp3,True
667,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000667.mp3,True
676,Hip-Hop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000676.mp3,True
690,Rock,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000690.mp3,True
694,Hip-Hop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000694.mp3,True
695,Hip-Hop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000695.mp3,True
704,International,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000704.mp3,True
705,International,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000705.mp3,True
706,International,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000706.mp3,True
707,International,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000707.mp3,True
708,International,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000708.mp3,True
709,International,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000709.mp3,True
714,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000714.mp3,True
715,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000715.mp3,True
716,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000716.mp3,True
718,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000718.mp3,True
777,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000777.mp3,True
814,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000814.mp3,True
821,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000821.mp3,True
822,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000822.mp3,True
825,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000825.mp3,True
853,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000853.mp3,True
890,Folk,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000890.mp3,True
892,Folk,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000892.mp3,True
897,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000897.mp3,True
993,Rock,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000993.mp3,True
995,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000995.mp3,True
997,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000997.mp3,True
998,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\000\000998.mp3,True
1039,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001039.mp3,True
1040,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001040.mp3,True
1066,Experimental,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001066.mp3,True
1069,Experimental,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001069.mp3,True
1073,Experimental,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001073.mp3,True
1075,Experimental,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001075.mp3,True
1082,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001082.mp3,True
1083,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001083.mp3,True
1087,Rock,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001087.mp3,True
1102,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001102.mp3,True
1193,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001193.mp3,True
1195,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001195.mp3,True
1196,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001196.mp3,True
1197,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001197.mp3,True
1249,Experimental,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001249.mp3,True
1259,Experimental,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001259.mp3,True
1270,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001270.mp3,True
1276,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001276.mp3,True
1277,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001277.mp3,True
1278,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001278.mp3,True
1417,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001417.mp3,True
1427,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001427.mp3,True
1443,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001443.mp3,True
1482,Electronic,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001482.mp3,True
1510,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001510.mp3,True
1544,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001544.mp3,True
1642,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001642.mp3,True
1644,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001644.mp3,True
1649,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001649.mp3,True
1661,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001661.mp3,True
1663,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001663.mp3,True
1666,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001666.mp3,True
1673,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001673.mp3,True
1680,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001680.mp3,True
1681,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001681.mp3,True
1682,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001682.mp3,True
1683,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001683.mp3,True
1684,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001684.mp3,True
1685,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001685.mp3,True
1686,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001686.mp3,True
1687,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001687.mp3,True
1688,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001688.mp3,True
1689,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001689.mp3,True
1701,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001701.mp3,True
1702,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001702.mp3,True
1703,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001703.mp3,True
1704,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001704.mp3,True
1706,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001706.mp3,True
1720,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001720.mp3,True
1732,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001732.mp3,True
1733,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001733.mp3,True
1735,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001735.mp3,True
1736,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001736.mp3,True
1883,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001883.mp3,True
1891,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001891.mp3,True
1893,Folk,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001893.mp3,True
1924,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001924.mp3,True
1925,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001925.mp3,True
1929,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001929.mp3,True
1930,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\001\001930.mp3,True
2012,Experimental,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\002\002012.mp3,True
2096,Experimental,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\002\002096.mp3,True
2097,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\002\002097.mp3,True
2099,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\002\002099.mp3,True
3263,Folk,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003263.mp3,True
3264,Folk,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003264.mp3,True
3265,Folk,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003265.mp3,True
3266,Folk,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003266.mp3,True
3270,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003270.mp3,True
3271,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003271.mp3,True
3272,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003272.mp3,True
3273,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003273.mp3,True
3274,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003274.mp3,True
3492,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003492.mp3,True
3532,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003532.mp3,True
3533,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003533.mp3,True
3534,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003534.mp3,True
3535,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003535.mp3,True
3537,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003537.mp3,True
3538,Pop,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003538.mp3,True
3573,Electronic,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003573.mp3,True
3598,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003598.mp3,True
3624,Rock,test,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003624.mp3,True
3707,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003707.mp3,True
3708,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003708.mp3,True
3720,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003720.mp3,True
3721,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003721.mp3,True
3722,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003722.mp3,True
3724,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003724.mp3,True
3725,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003725.mp3,True
3761,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003761.mp3,True
3762,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003762.mp3,True
3763,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003763.mp3,True
3765,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003765.mp3,True
3766,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003766.mp3,True
3775,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003775.mp3,True
3776,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003776.mp3,True
3777,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003777.mp3,True
3778,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003778.mp3,True
3779,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003779.mp3,True
3832,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003832.mp3,True
3833,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003833.mp3,True
3840,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003840.mp3,True
3880,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003880.mp3,True
3895,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003895.mp3,True
3896,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003896.mp3,True
3904,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003904.mp3,True
3905,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003905.mp3,True
3906,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003906.mp3,True
3908,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003908.mp3,True
3909,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003909.mp3,True
3910,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003910.mp3,True
3911,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003911.mp3,True
3912,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003912.mp3,True
3913,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003913.mp3,True
3920,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003920.mp3,True
3921,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003921.mp3,True
3950,Rock,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\003\003950.mp3,True
4013,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004013.mp3,True
4017,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004017.mp3,True
4022,Rock,validation,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004022.mp3,True
4037,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004037.mp3,True
4066,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004066.mp3,True
4067,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004067.mp3,True
4068,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004068.mp3,True
4069,Folk,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004069.mp3,True
4070,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004070.mp3,True
4071,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004071.mp3,True
4072,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004072.mp3,True
4073,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004073.mp3,True
4074,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004074.mp3,True
4075,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004075.mp3,True
4076,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004076.mp3,True
4077,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004077.mp3,True
4078,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004078.mp3,True
4079,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004079.mp3,True
4080,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004080.mp3,True
4091,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004091.mp3,True
4092,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004092.mp3,True
4093,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004093.mp3,True
4094,International,training,C:\Users\Robben's Laptop\OneDrive\Documents\Personal Projects\signals-of-genres\dataset\fma_small\004\004094.mp3,True
